# index 0: u''=-u
0.0276753 0.0276718 0.999617 
0.0278269 0.0278233 0.999613 
0.0279786 0.0279749 0.999609 
0.0281302 0.0281265 0.999604 
0.0282818 0.0282781 0.9996 
0.0284335 0.0284297 0.999596 
0.0285851 0.0285812 0.999591 
0.0287368 0.0287328 0.999587 
0.0288884 0.0288844 0.999583 
0.02904 0.029036 0.999578 
0.0291917 0.0291875 0.999574 
0.0293433 0.0293391 0.99957 
0.029495 0.0294907 0.999565 
0.0296466 0.0296423 0.999561 
0.0297982 0.0297938 0.999556 
0.0299499 0.0299454 0.999552 
0.0301015 0.030097 0.999547 
0.0302531 0.0302485 0.999542 
0.0304048 0.0304001 0.999538 
0.0305564 0.0305517 0.999533 
0.0307081 0.0307032 0.999529 
0.0308597 0.0308548 0.999524 
0.0310113 0.0310064 0.999519 
0.031163 0.0311579 0.999514 
0.0313146 0.0313095 0.99951 
0.0314663 0.0314611 0.999505 
0.0316179 0.0316126 0.9995 
0.0317695 0.0317642 0.999495 
0.0319212 0.0319158 0.999491 
0.0320728 0.0320673 0.999486 
0.0322245 0.0322189 0.999481 
0.0323761 0.0323704 0.999476 
0.0325277 0.032522 0.999471 
0.0326794 0.0326736 0.999466 
0.032831 0.0328251 0.999461 
0.0329826 0.0329767 0.999456 
0.0331343 0.0331282 0.999451 
0.0332859 0.0332798 0.999446 
0.0334376 0.0334313 0.999441 
0.0335892 0.0335829 0.999436 
0.0337408 0.0337344 0.999431 
0.0338925 0.033886 0.999426 
0.0340441 0.0340375 0.999421 
0.0341958 0.0341891 0.999415 
0.0343474 0.0343406 0.99941 
0.034499 0.0344922 0.999405 
0.0346507 0.0346437 0.9994 
0.0348023 0.0347953 0.999394 
0.034954 0.0349468 0.999389 
0.0351056 0.0350984 0.999384 
0.0352572 0.0352499 0.999379 
0.0354089 0.0354015 0.999373 
0.0355605 0.035553 0.999368 
0.0357122 0.0357046 0.999362 
0.0358638 0.0358561 0.999357 
0.0360154 0.0360076 0.999352 
0.0361671 0.0361592 0.999346 
0.0363187 0.0363107 0.999341 
0.0364703 0.0364623 0.999335 
0.036622 0.0366138 0.999329 
0.0367736 0.0367653 0.999324 
0.0369253 0.0369169 0.999318 
0.0370769 0.0370684 0.999313 
0.0372285 0.0372199 0.999307 
0.0373802 0.0373715 0.999301 
0.0375318 0.037523 0.999296 
0.0376835 0.0376745 0.99929 
0.0378351 0.0378261 0.999284 
0.0379867 0.0379776 0.999279 
0.0381384 0.0381291 0.999273 
0.03829 0.0382807 0.999267 
0.0384417 0.0384322 0.999261 
0.0385933 0.0385837 0.999255 
0.0387449 0.0387352 0.99925 
0.0388966 0.0388868 0.999244 
0.0390482 0.0390383 0.999238 
0.0391998 0.0391898 0.999232 
0.0393515 0.0393413 0.999226 
0.0395031 0.0394929 0.99922 
0.0396548 0.0396444 0.999214 
0.0398064 0.0397959 0.999208 
0.039958 0.0399474 0.999202 
0.0401097 0.0400989 0.999196 
0.0402613 0.0402504 0.99919 
0.040413 0.040402 0.999184 
0.0405646 0.0405535 0.999177 
0.0407162 0.040705 0.999171 
0.0408679 0.0408565 0.999165 
0.0410195 0.041008 0.999159 
0.0411712 0.0411595 0.999153 
0.0413228 0.041311 0.999146 
0.0414744 0.0414625 0.99914 
0.0416261 0.0416141 0.999134 
0.0417777 0.0417656 0.999127 
0.0419293 0.0419171 0.999121 
0.042081 0.0420686 0.999115 
0.0422326 0.0422201 0.999108 
0.0423843 0.0423716 0.999102 
0.0425359 0.0425231 0.999095 
0.0426875 0.0426746 0.999089 
0.0428392 0.0428261 0.999083 
0.0429908 0.0429776 0.999076 
0.0431425 0.0431291 0.99907 
0.0432941 0.0432806 0.999063 
0.0434457 0.0434321 0.999056 
0.0435974 0.0435836 0.99905 
0.043749 0.0437351 0.999043 
0.0439007 0.0438866 0.999037 
0.0440523 0.044038 0.99903 
0.0442039 0.0441895 0.999023 
0.0443556 0.044341 0.999016 
0.0445072 0.0444925 0.99901 
0.0446588 0.044644 0.999003 
0.0448105 0.0447955 0.998996 
0.0449621 0.044947 0.998989 
